algorithm	dataset	psi	beta	purity
IKSHC	WDBC	3	0.400000	0.901222
IKSHC	WDBC	3	0.500000	0.875307
IKSHC	WDBC	3	0.600000	0.870918
IKSHC	WDBC	3	0.700000	0.864640
IKSHC	WDBC	3	0.800000	0.879523
IKSHC	WDBC	3	0.900000	0.900721
IKSHC	WDBC	5	0.400000	0.873729
IKSHC	WDBC	5	0.500000	0.887201
IKSHC	WDBC	5	0.600000	0.870005
IKSHC	WDBC	5	0.700000	0.870843
IKSHC	WDBC	5	0.800000	0.886187
IKSHC	WDBC	5	0.900000	0.867342
IKSHC	WDBC	7	0.400000	0.879100
IKSHC	WDBC	7	0.500000	0.867022
IKSHC	WDBC	7	0.600000	0.904082
IKSHC	WDBC	7	0.700000	0.865101
IKSHC	WDBC	7	0.800000	0.895508
IKSHC	WDBC	7	0.900000	0.877655
IKSHC	WDBC	13	0.400000	0.896032
IKSHC	WDBC	13	0.500000	0.865567
IKSHC	WDBC	13	0.600000	0.873868
IKSHC	WDBC	13	0.700000	0.885923
IKSHC	WDBC	13	0.800000	0.867928
IKSHC	WDBC	13	0.900000	0.879713
IKSHC	WDBC	15	0.400000	0.864957
IKSHC	WDBC	15	0.500000	0.883547
IKSHC	WDBC	15	0.600000	0.888694
IKSHC	WDBC	15	0.700000	0.849357
IKSHC	WDBC	15	0.800000	0.901403
IKSHC	WDBC	15	0.900000	0.872867
IKSHC	WDBC	17	0.400000	0.886896
IKSHC	WDBC	17	0.500000	0.875486
IKSHC	WDBC	17	0.600000	0.877947
IKSHC	WDBC	17	0.700000	0.883347
IKSHC	WDBC	17	0.800000	0.864563
IKSHC	WDBC	17	0.900000	0.882451
IKSHC	WDBC	21	0.400000	0.886443
IKSHC	WDBC	21	0.500000	0.887697
IKSHC	WDBC	21	0.600000	0.879154
IKSHC	WDBC	21	0.700000	0.871856
IKSHC	WDBC	21	0.800000	0.889822
IKSHC	WDBC	21	0.900000	0.910095
IKSHC	WDBC	25	0.400000	0.887833
IKSHC	WDBC	25	0.500000	0.863182
IKSHC	WDBC	25	0.600000	0.881160
IKSHC	WDBC	25	0.700000	0.872475
IKSHC	WDBC	25	0.800000	0.880805
IKSHC	WDBC	25	0.900000	0.890471
IKSHC	WDBC	3	0.400000	0.896293
IKSHC	WDBC	3	0.500000	0.892496
IKSHC	WDBC	3	0.600000	0.893090
IKSHC	WDBC	3	0.700000	0.892836
IKSHC	WDBC	3	0.800000	0.877818
IKSHC	WDBC	3	0.900000	0.902874
IKSHC	WDBC	5	0.400000	0.898087
IKSHC	WDBC	5	0.500000	0.890853
IKSHC	WDBC	5	0.600000	0.901354
