algorithm	dataset	purity
IKSHC	banknote	0.838365
PERCH	banknote	0.616910
IKSHC	banknote	0.687318
PERCH	banknote	0.630393
IKSHC	banknote	0.719867
PERCH	banknote	0.674245
IKSHC	banknote	0.749934
PERCH	banknote	0.586574
IKSHC	banknote	0.772309
PERCH	banknote	0.717339
IKSHC	banknote	0.749418
PERCH	banknote	0.688833
IKSHC	banknote	0.766356
PERCH	banknote	0.640942
IKSHC	banknote	0.917539
PERCH	banknote	0.679594
IKSHC	banknote	0.730130
PERCH	banknote	0.715820
IKSHC	banknote	0.752672
PERCH	banknote	0.665951
IKSHC	COIL20	0.560661
PERCH	COIL20	0.592506
IKSHC	COIL20	0.619872
PERCH	COIL20	0.694632
IKSHC	COIL20	0.628329
PERCH	COIL20	0.645830
IKSHC	COIL20	0.597497
PERCH	COIL20	0.620560
IKSHC	COIL20	0.623294
PERCH	COIL20	0.555970
IKSHC	COIL20	0.577179
PERCH	COIL20	0.666249
IKSHC	COIL20	0.601217
PERCH	COIL20	0.573641
IKSHC	COIL20	0.605181
PERCH	COIL20	0.616390
IKSHC	COIL20	0.588861
PERCH	COIL20	0.613042
IKSHC	COIL20	0.579341
PERCH	COIL20	0.585668
IKSHC	ALLAML	0.741474
PERCH	ALLAML	0.633091
IKSHC	ALLAML	0.727316
PERCH	ALLAML	0.555016
IKSHC	ALLAML	0.702612
PERCH	ALLAML	0.625949
IKSHC	ALLAML	0.720025
PERCH	ALLAML	0.615327
IKSHC	ALLAML	0.742215
PERCH	ALLAML	0.588958
IKSHC	ALLAML	0.788649
PERCH	ALLAML	0.635105
IKSHC	ALLAML	0.717200
PERCH	ALLAML	0.550422
IKSHC	ALLAML	0.667027
PERCH	ALLAML	0.608986
IKSHC	ALLAML	0.766764
PERCH	ALLAML	0.688857
IKSHC	ALLAML	0.748940
PERCH	ALLAML	0.627575
IKSHC	Segment	0.640826
PERCH	Segment	0.619465
IKSHC	Segment	0.645755
PERCH	Segment	0.616860
IKSHC	Segment	0.615533
PERCH	Segment	0.515081
IKSHC	Segment	0.627643
PERCH	Segment	0.593962
IKSHC	Segment	0.665515
PERCH	Segment	0.470660
IKSHC	Segment	0.648017
PERCH	Segment	0.586675
IKSHC	Segment	0.664441
PERCH	Segment	0.546663
IKSHC	Segment	0.630342
PERCH	Segment	0.584902
IKSHC	Segment	0.660422
PERCH	Segment	0.613592
IKSHC	Segment	0.689516
PERCH	Segment	0.581781
