dataset	algorithm	purity	clustering_time_elapsed	max_psi	max_rt
WDBC_shuffle_0	IKSHC	0.913457	12.297669	5	0.7
WDBC_shuffle_0	PERCH	0.793153	1.142131
WDBC_shuffle_1	IKSHC	0.887228	12.128755	7	0.6
WDBC_shuffle_1	PERCH	0.706783	0.450588
WDBC_shuffle_2	IKSHC	0.919890	12.256901	5	0.7
WDBC_shuffle_2	PERCH	0.696572	0.459125
WDBC_shuffle_3	IKSHC	0.908822	12.125677	5	0.6
WDBC_shuffle_3	PERCH	0.665644	0.426707
WDBC_shuffle_4	IKSHC	0.924028	11.994563	7	0.7
WDBC_shuffle_4	PERCH	0.788305	0.442464
WDBC_shuffle_5	IKSHC	0.905897	11.953958	5	0.6
WDBC_shuffle_5	PERCH	0.718822	0.432860
WDBC_shuffle_6	IKSHC	0.902223	12.100871	7	0.6
WDBC_shuffle_6	PERCH	0.679702	0.441751
WDBC_shuffle_7	IKSHC	0.889768	11.811702	15	0.9
WDBC_shuffle_7	PERCH	0.674002	0.444441
WDBC_shuffle_8	IKSHC	0.903448	12.220412	13	0.8
WDBC_shuffle_8	PERCH	0.801804	0.452054
WDBC_shuffle_9	IKSHC	0.907560	12.212586	5	0.7
WDBC_shuffle_9	PERCH	0.749406	0.487101
