algorithm	dataset	psi	beta	purity
IKSHC	seeds	17	0.400000	0.737799
IKSHC	seeds	17	0.500000	0.714247
IKSHC	seeds	17	0.600000	0.770170
IKSHC	seeds	17	0.700000	0.856032
IKSHC	seeds	17	0.800000	0.726689
IKSHC	seeds	17	0.900000	0.773132
IKSHC	seeds	21	0.400000	0.711306
IKSHC	seeds	21	0.500000	0.733294
IKSHC	seeds	21	0.600000	0.806116
IKSHC	seeds	21	0.700000	0.734152
IKSHC	seeds	21	0.800000	0.737151
IKSHC	seeds	21	0.900000	0.707920
IKSHC	seeds	25	0.400000	0.725072
IKSHC	seeds	25	0.500000	0.786474
IKSHC	seeds	25	0.600000	0.733354
IKSHC	seeds	25	0.700000	0.736255
IKSHC	seeds	25	0.800000	0.802116
IKSHC	seeds	25	0.900000	0.761412
IKSHC	seeds	3	0.400000	0.829533
IKSHC	seeds	3	0.500000	0.789066
IKSHC	seeds	3	0.600000	0.833239
IKSHC	seeds	3	0.700000	0.800242
IKSHC	seeds	3	0.800000	0.839525
IKSHC	seeds	3	0.900000	0.795981
IKSHC	seeds	5	0.400000	0.804741
IKSHC	seeds	5	0.500000	0.843843
IKSHC	seeds	5	0.600000	0.780300
IKSHC	seeds	5	0.700000	0.790092
IKSHC	seeds	5	0.800000	0.816973
IKSHC	seeds	5	0.900000	0.810092
IKSHC	seeds	7	0.400000	0.784718
IKSHC	seeds	7	0.500000	0.823491
IKSHC	seeds	7	0.600000	0.775628
IKSHC	seeds	7	0.700000	0.841695
IKSHC	seeds	7	0.800000	0.832955
IKSHC	seeds	7	0.900000	0.805943
IKSHC	seeds	13	0.400000	0.760673
IKSHC	seeds	13	0.500000	0.784286
IKSHC	seeds	13	0.600000	0.785011
IKSHC	seeds	13	0.700000	0.804870
IKSHC	seeds	13	0.800000	0.783298
IKSHC	seeds	13	0.900000	0.792685
IKSHC	seeds	15	0.400000	0.781063
IKSHC	seeds	15	0.500000	0.829272
IKSHC	seeds	15	0.600000	0.804502
IKSHC	seeds	15	0.700000	0.765339
IKSHC	seeds	15	0.800000	0.744177
IKSHC	seeds	15	0.900000	0.791101
IKSHC	seeds	17	0.400000	0.786552
IKSHC	seeds	17	0.500000	0.799437
IKSHC	seeds	17	0.600000	0.818247
IKSHC	seeds	17	0.700000	0.757984
IKSHC	seeds	17	0.800000	0.790864
IKSHC	seeds	17	0.900000	0.719577
IKSHC	seeds	21	0.400000	0.804009
IKSHC	seeds	21	0.500000	0.771388
IKSHC	seeds	21	0.600000	0.775325
IKSHC	seeds	21	0.700000	0.789161
IKSHC	seeds	21	0.800000	0.795982
IKSHC	seeds	21	0.900000	0.777601
IKSHC	seeds	25	0.400000	0.575487
IKSHC	seeds	25	0.500000	0.616387
IKSHC	seeds	25	0.600000	0.760773
IKSHC	seeds	25	0.700000	0.781499
IKSHC	seeds	25	0.800000	0.842402
IKSHC	seeds	25	0.900000	0.799885
IKSHC	seeds	3	0.400000	0.804525
IKSHC	seeds	3	0.500000	0.845785
IKSHC	seeds	3	0.600000	0.802293
IKSHC	seeds	3	0.700000	0.789155
IKSHC	seeds	3	0.800000	0.790699
IKSHC	seeds	3	0.900000	0.870898
IKSHC	seeds	5	0.400000	0.826401
IKSHC	seeds	5	0.500000	0.766080
IKSHC	seeds	5	0.600000	0.810350
IKSHC	seeds	5	0.700000	0.801248
IKSHC	seeds	5	0.800000	0.787804
IKSHC	seeds	5	0.900000	0.823138
IKSHC	seeds	7	0.400000	0.805195
IKSHC	seeds	7	0.500000	0.810655
IKSHC	seeds	7	0.600000	0.832861
IKSHC	seeds	7	0.700000	0.799698
IKSHC	seeds	7	0.800000	0.804607
IKSHC	seeds	7	0.900000	0.802275
IKSHC	seeds	13	0.400000	0.806485
IKSHC	seeds	13	0.500000	0.789492
IKSHC	seeds	13	0.600000	0.811714
IKSHC	seeds	13	0.700000	0.810283
IKSHC	seeds	13	0.800000	0.786543
IKSHC	seeds	13	0.900000	0.722778
IKSHC	seeds	15	0.400000	0.786439
IKSHC	seeds	15	0.500000	0.872834
IKSHC	seeds	15	0.600000	0.863389
IKSHC	seeds	15	0.700000	0.829796
IKSHC	seeds	15	0.800000	0.862952
IKSHC	seeds	15	0.900000	0.762510
IKSHC	seeds	17	0.400000	0.747634
IKSHC	seeds	17	0.500000	0.834094
IKSHC	seeds	17	0.600000	0.750299
IKSHC	seeds	17	0.700000	0.823462
IKSHC	seeds	17	0.800000	0.704235
IKSHC	seeds	17	0.900000	0.709611
IKSHC	seeds	21	0.400000	0.727090
IKSHC	seeds	21	0.500000	0.764292
IKSHC	seeds	21	0.600000	0.756973
IKSHC	seeds	21	0.700000	0.830462
IKSHC	seeds	21	0.800000	0.840868
IKSHC	seeds	21	0.900000	0.757294
IKSHC	seeds	25	0.400000	0.618555
IKSHC	seeds	25	0.500000	0.782021
IKSHC	seeds	25	0.600000	0.719443
IKSHC	seeds	25	0.700000	0.722221
IKSHC	seeds	25	0.800000	0.791639
IKSHC	seeds	25	0.900000	0.715549
IKSHC	seeds	3	0.400000	0.847617
IKSHC	seeds	3	0.500000	0.805858
IKSHC	seeds	3	0.600000	0.796136
IKSHC	seeds	3	0.700000	0.785918
IKSHC	seeds	3	0.800000	0.829272
IKSHC	seeds	3	0.900000	0.813463
IKSHC	seeds	5	0.400000	0.833072
IKSHC	seeds	5	0.500000	0.830528
IKSHC	seeds	5	0.600000	0.843199
IKSHC	seeds	5	0.700000	0.857310
IKSHC	seeds	5	0.800000	0.820733
IKSHC	seeds	5	0.900000	0.822132
IKSHC	seeds	7	0.400000	0.856182
IKSHC	seeds	7	0.500000	0.843758
IKSHC	seeds	7	0.600000	0.831464
IKSHC	seeds	7	0.700000	0.853806
IKSHC	seeds	7	0.800000	0.862775
IKSHC	seeds	7	0.900000	0.847311
IKSHC	seeds	13	0.400000	0.868825
IKSHC	seeds	13	0.500000	0.840277
IKSHC	seeds	13	0.600000	0.827478
IKSHC	seeds	13	0.700000	0.830859
IKSHC	seeds	13	0.800000	0.862783
IKSHC	seeds	13	0.900000	0.869990
IKSHC	seeds	15	0.400000	0.803024
IKSHC	seeds	15	0.500000	0.873289
IKSHC	seeds	15	0.600000	0.864262
