dataset	algorithm	purity	clustering_time_elapsed
glass_shuffle_0	IKSHC	0.441862	0.852732
glass_shuffle_1	IKSHC	0.501657	0.119423
glass_shuffle_2	IKSHC	0.464666	0.136142
glass_shuffle_3	IKSHC	0.406050	0.136659
glass_shuffle_4	IKSHC	0.449493	0.133829
glass_shuffle_5	IKSHC	0.481091	0.135133
glass_shuffle_6	IKSHC	0.458554	0.131423
glass_shuffle_7	IKSHC	0.455647	0.134138
glass_shuffle_8	IKSHC	0.435274	0.191910
glass_shuffle_9	IKSHC	0.417638	0.129237
