algorithm	dataset	psi	beta	purity
IKSHC	shape	3	0.400000	0.528951
IKSHC	shape	3	0.500000	0.506173
IKSHC	shape	3	0.600000	0.423662
IKSHC	shape	3	0.700000	0.538577
IKSHC	shape	3	0.800000	0.483844
IKSHC	shape	3	0.900000	0.496116
IKSHC	shape	5	0.400000	0.547381
IKSHC	shape	5	0.500000	0.480586
IKSHC	shape	5	0.600000	0.525206
IKSHC	shape	5	0.700000	0.487467
IKSHC	shape	5	0.800000	0.516128
IKSHC	shape	5	0.900000	0.523029
IKSHC	shape	7	0.400000	0.527619
IKSHC	shape	7	0.500000	0.529588
IKSHC	shape	7	0.600000	0.512536
IKSHC	shape	7	0.700000	0.562933
IKSHC	shape	7	0.800000	0.590679
IKSHC	shape	7	0.900000	0.564170
IKSHC	shape	13	0.400000	0.579666
IKSHC	shape	13	0.500000	0.498927
IKSHC	shape	13	0.600000	0.540643
IKSHC	shape	13	0.700000	0.453414
IKSHC	shape	13	0.800000	0.558435
IKSHC	shape	13	0.900000	0.509231
IKSHC	shape	15	0.400000	0.515740
IKSHC	shape	15	0.500000	0.531374
IKSHC	shape	15	0.600000	0.518967
IKSHC	shape	15	0.700000	0.554591
IKSHC	shape	15	0.800000	0.564712
IKSHC	shape	15	0.900000	0.568876
IKSHC	shape	17	0.400000	0.577537
IKSHC	shape	17	0.500000	0.523926
IKSHC	shape	17	0.600000	0.525685
IKSHC	shape	17	0.700000	0.538473
IKSHC	shape	17	0.800000	0.514331
IKSHC	shape	17	0.900000	0.511538
IKSHC	shape	21	0.400000	0.547552
IKSHC	shape	21	0.500000	0.559010
IKSHC	shape	21	0.600000	0.556496
IKSHC	shape	21	0.700000	0.544532
IKSHC	shape	21	0.800000	0.559711
IKSHC	shape	21	0.900000	0.530412
IKSHC	shape	25	0.400000	0.506205
IKSHC	shape	25	0.500000	0.547944
IKSHC	shape	25	0.600000	0.544328
IKSHC	shape	25	0.700000	0.567110
IKSHC	shape	25	0.800000	0.563777
IKSHC	shape	25	0.900000	0.596869
IKSHC	shape	3	0.400000	0.534688
IKSHC	shape	3	0.500000	0.544200
IKSHC	shape	3	0.600000	0.511383
IKSHC	shape	3	0.700000	0.545170
IKSHC	shape	3	0.800000	0.470499
IKSHC	shape	3	0.900000	0.531518
IKSHC	shape	5	0.400000	0.509557
IKSHC	shape	5	0.500000	0.413785
IKSHC	shape	5	0.600000	0.481008
IKSHC	shape	5	0.700000	0.520744
IKSHC	shape	5	0.800000	0.562331
IKSHC	shape	5	0.900000	0.535082
IKSHC	shape	7	0.400000	0.508537
IKSHC	shape	7	0.500000	0.511298
IKSHC	shape	7	0.600000	0.607659
IKSHC	shape	7	0.700000	0.473215
IKSHC	shape	7	0.800000	0.521241
IKSHC	shape	7	0.900000	0.519935
IKSHC	shape	13	0.400000	0.609672
IKSHC	shape	13	0.500000	0.581391
IKSHC	shape	13	0.600000	0.591204
IKSHC	shape	13	0.700000	0.534452
IKSHC	shape	13	0.800000	0.472434
IKSHC	shape	13	0.900000	0.595677
IKSHC	shape	15	0.400000	0.522260
IKSHC	shape	15	0.500000	0.578809
IKSHC	shape	15	0.600000	0.597463
IKSHC	shape	15	0.700000	0.503875
IKSHC	shape	15	0.800000	0.596968
IKSHC	shape	15	0.900000	0.624448
IKSHC	shape	17	0.400000	0.569033
IKSHC	shape	17	0.500000	0.620139
IKSHC	shape	17	0.600000	0.521229
IKSHC	shape	17	0.700000	0.587356
IKSHC	shape	17	0.800000	0.502369
IKSHC	shape	17	0.900000	0.535468
IKSHC	shape	21	0.400000	0.504155
IKSHC	shape	21	0.500000	0.549172
IKSHC	shape	21	0.600000	0.572102
IKSHC	shape	21	0.700000	0.489412
IKSHC	shape	21	0.800000	0.489732
IKSHC	shape	21	0.900000	0.603038
IKSHC	shape	25	0.400000	0.645999
IKSHC	shape	25	0.500000	0.530026
IKSHC	shape	25	0.600000	0.550504
IKSHC	shape	25	0.700000	0.522466
IKSHC	shape	25	0.800000	0.570254
IKSHC	shape	25	0.900000	0.561494
IKSHC	shape	3	0.400000	0.558116
IKSHC	shape	3	0.500000	0.491760
IKSHC	shape	3	0.600000	0.497406
IKSHC	shape	3	0.700000	0.492191
IKSHC	shape	3	0.800000	0.508262
IKSHC	shape	3	0.900000	0.464615
IKSHC	shape	5	0.400000	0.522070
IKSHC	shape	5	0.500000	0.547655
IKSHC	shape	5	0.600000	0.519607
IKSHC	shape	5	0.700000	0.598041
IKSHC	shape	5	0.800000	0.608000
IKSHC	shape	5	0.900000	0.481793
IKSHC	shape	7	0.400000	0.513559
IKSHC	shape	7	0.500000	0.535852
IKSHC	shape	7	0.600000	0.617545
IKSHC	shape	7	0.700000	0.644124
IKSHC	shape	7	0.800000	0.557979
IKSHC	shape	7	0.900000	0.523756
IKSHC	shape	13	0.400000	0.647170
IKSHC	shape	13	0.500000	0.619474
IKSHC	shape	13	0.600000	0.651696
IKSHC	shape	13	0.700000	0.557076
