algorithm	dataset	purity
IKSHC	seeds	0.869219
PERCH	seeds	0.604067
IKSHC	seeds	0.864167
PERCH	seeds	0.688903
IKSHC	seeds	0.856032
PERCH	seeds	0.697993
IKSHC	seeds	0.843843
PERCH	seeds	0.713333
IKSHC	seeds	0.872834
PERCH	seeds	0.694245
IKSHC	seeds	0.873289
PERCH	seeds	0.869014
IKSHC	seeds	0.853542
PERCH	seeds	0.730803
IKSHC	seeds	0.881084
PERCH	seeds	0.636147
IKSHC	seeds	0.856569
PERCH	seeds	0.685702
IKSHC	seeds	0.889147
PERCH	seeds	0.574356
IKSHC	WDBC	0.894451
PERCH	WDBC	0.652340
IKSHC	WDBC	0.910063
PERCH	WDBC	0.694982
IKSHC	WDBC	0.912287
PERCH	WDBC	0.751128
IKSHC	WDBC	0.918170
PERCH	WDBC	0.658694
IKSHC	WDBC	0.902425
PERCH	WDBC	0.804752
IKSHC	WDBC	0.928884
PERCH	WDBC	0.688763
