algorithm	dataset	purity
IKSHC	Isolet	0.43213199999999996
PERCH	Isolet	0.396708
IKSHC	Isolet	0.451431
PERCH	Isolet	0.458471
IKSHC	control	0.771113
PERCH	control	0.490392
IKSHC	control	0.776594
PERCH	control	0.594715
IKSHC	control	0.763705
PERCH	control	0.539764
IKSHC	control	0.7884760000000001
PERCH	control	0.594418
IKSHC	control	0.7839
PERCH	control	0.588982
IKSHC	control	0.774629
PERCH	control	0.589928
IKSHC	control	0.78033
PERCH	control	0.623966
IKSHC	control	0.779325
PERCH	control	0.795415
IKSHC	control	0.809081
PERCH	control	0.602046
IKSHC	control	0.7626350000000001
PERCH	control	0.695824
IKSHC	hill	0.505972
PERCH	hill	0.5052770000000001
IKSHC	hill	0.506571
PERCH	hill	0.5025229999999999
IKSHC	hill	0.505826
PERCH	hill	0.504871
IKSHC	hill	0.5051760000000001
PERCH	hill	0.503919
IKSHC	hill	0.504946
PERCH	hill	0.502393
IKSHC	hill	0.505711
PERCH	hill	0.506549
IKSHC	hill	0.5066649999999999
PERCH	hill	0.505998
IKSHC	hill	0.505497
PERCH	hill	0.507332
IKSHC	hill	0.505946
PERCH	hill	0.503791
IKSHC	hill	0.505621
PERCH	hill	0.5054069999999999
IKSHC	seeds	0.880496
PERCH	seeds	0.689824
IKSHC	seeds	0.8463870000000001
PERCH	seeds	0.555944
IKSHC	seeds	0.8557899999999999
PERCH	seeds	0.575422
IKSHC	seeds	0.8299139999999999
PERCH	seeds	0.6776310000000001
IKSHC	seeds	0.8622690000000001
PERCH	seeds	0.592123
IKSHC	seeds	0.888748
PERCH	seeds	0.8197979999999999
IKSHC	seeds	0.88956
PERCH	seeds	0.651595
IKSHC	seeds	0.889911
PERCH	seeds	0.713989
IKSHC	seeds	0.8622120000000001
PERCH	seeds	0.515728
IKSHC	seeds	0.855297
PERCH	seeds	0.678234
IKSHC	thyroid	0.8019109999999999
PERCH	thyroid	0.682611
IKSHC	thyroid	0.9251030000000001
PERCH	thyroid	0.6567
IKSHC	thyroid	0.825284
PERCH	thyroid	0.7455149999999999
IKSHC	thyroid	0.883599
PERCH	thyroid	0.7593850000000001
IKSHC	thyroid	0.824276
PERCH	thyroid	0.6817310000000001
IKSHC	thyroid	0.794848
PERCH	thyroid	0.690479
IKSHC	thyroid	0.816571
PERCH	thyroid	0.781945
IKSHC	thyroid	0.816435
PERCH	thyroid	0.693092
IKSHC	thyroid	0.8291459999999999
PERCH	thyroid	0.694024
IKSHC	thyroid	0.851709
PERCH	thyroid	0.666193
IKSHC	diabetes	0.637895
PERCH	diabetes	0.602479
IKSHC	diabetes	0.622857
PERCH	diabetes	0.5897859999999999
IKSHC	diabetes	0.628521
PERCH	diabetes	0.605919
IKSHC	diabetes	0.632654
PERCH	diabetes	0.580677
IKSHC	diabetes	0.625046
PERCH	diabetes	0.5553359999999999
IKSHC	diabetes	0.626378
PERCH	diabetes	0.589091
IKSHC	diabetes	0.6290180000000001
PERCH	diabetes	0.588864
IKSHC	diabetes	0.6160909999999999
PERCH	diabetes	0.583421
IKSHC	diabetes	0.635849
PERCH	diabetes	0.573497
IKSHC	diabetes	0.631657
PERCH	diabetes	0.595784
IKSHC	shape	0.64618
PERCH	shape	0.608509
IKSHC	shape	0.6023069999999999
PERCH	shape	0.6499510000000001
IKSHC	shape	0.627951
PERCH	shape	0.691661
IKSHC	shape	0.604592
PERCH	shape	0.647221
IKSHC	shape	0.648237
PERCH	shape	0.61838
IKSHC	shape	0.636537
PERCH	shape	0.694059
IKSHC	shape	0.695869
PERCH	shape	0.704063
