dataset	algorithm	purity	clustering_time_elapsed	max_psi	max_rt
LSVT_shuffle_0	IKSHC	0.678215	0.265374	13	0.8
LSVT_shuffle_0	PERCH	0.618839	0.148533
LSVT_shuffle_1	IKSHC	0.704138	0.265619	25	0.5
LSVT_shuffle_1	PERCH	0.699904	0.155922
LSVT_shuffle_2	IKSHC	0.671626	0.274399	25	0.4
LSVT_shuffle_2	PERCH	0.638668	0.151076
LSVT_shuffle_3	IKSHC	0.659611	0.272083	21	0.5
LSVT_shuffle_3	PERCH	0.686578	0.117489
LSVT_shuffle_4	IKSHC	0.692698	0.269752	21	0.6
LSVT_shuffle_4	PERCH	0.614503	0.169708
LSVT_shuffle_5	IKSHC	0.686358	0.274056	15	0.4
LSVT_shuffle_5	PERCH	0.621678	0.159953
LSVT_shuffle_6	IKSHC	0.672059	0.266506	5	0.8
LSVT_shuffle_6	PERCH	0.637596	0.129132
LSVT_shuffle_7	IKSHC	0.662199	0.267494	17	0.6
LSVT_shuffle_7	PERCH	0.649748	0.140363
LSVT_shuffle_8	IKSHC	0.678759	0.265319	17	0.4
LSVT_shuffle_8	PERCH	0.681338	0.152353
LSVT_shuffle_9	IKSHC	0.656594	0.274510	17	0.5
LSVT_shuffle_9	PERCH	0.603518	0.164257
