algorithm	dataset	purity
IKSHC	thyroid	0.896036
PERCH	thyroid	0.776181
IKSHC	thyroid	0.793986
PERCH	thyroid	0.618994
IKSHC	thyroid	0.879676
PERCH	thyroid	0.765616
IKSHC	thyroid	0.831918
PERCH	thyroid	0.732269
IKSHC	thyroid	0.836334
PERCH	thyroid	0.756560
IKSHC	thyroid	0.881857
PERCH	thyroid	0.740227
IKSHC	thyroid	0.835555
PERCH	thyroid	0.724296
IKSHC	thyroid	0.841226
PERCH	thyroid	0.773474
IKSHC	thyroid	0.811663
PERCH	thyroid	0.738467
IKSHC	thyroid	0.854277
PERCH	thyroid	0.728414
IKSHC	vowel	0.214877
PERCH	vowel	0.210349
