algorithm	dataset	psi	beta	purity
IKSHC	control	3	0.400000	0.744214
IKSHC	control	3	0.500000	0.776420
IKSHC	control	3	0.600000	0.758267
IKSHC	control	3	0.700000	0.742736
IKSHC	control	3	0.800000	0.769035
IKSHC	control	3	0.900000	0.761148
IKSHC	control	5	0.400000	0.746835
IKSHC	control	5	0.500000	0.669166
IKSHC	control	5	0.600000	0.694576
IKSHC	control	5	0.700000	0.752283
IKSHC	control	5	0.800000	0.719312
IKSHC	control	5	0.900000	0.736652
IKSHC	control	7	0.400000	0.719187
IKSHC	control	7	0.500000	0.759313
IKSHC	control	7	0.600000	0.748662
IKSHC	control	7	0.700000	0.759785
IKSHC	control	7	0.800000	0.748590
IKSHC	control	7	0.900000	0.683433
IKSHC	control	13	0.400000	0.703779
IKSHC	control	13	0.500000	0.780512
IKSHC	control	13	0.600000	0.722248
IKSHC	control	13	0.700000	0.717793
IKSHC	control	13	0.800000	0.677093
IKSHC	control	13	0.900000	0.702593
IKSHC	control	15	0.400000	0.792656
IKSHC	control	15	0.500000	0.759119
IKSHC	control	15	0.600000	0.739289
IKSHC	control	15	0.700000	0.757820
IKSHC	control	15	0.800000	0.749892
IKSHC	control	15	0.900000	0.785969
IKSHC	control	17	0.400000	0.760825
IKSHC	control	17	0.500000	0.765815
IKSHC	control	17	0.600000	0.756347
IKSHC	control	17	0.700000	0.730381
IKSHC	control	17	0.800000	0.721282
IKSHC	control	17	0.900000	0.668549
IKSHC	control	21	0.400000	0.763412
IKSHC	control	21	0.500000	0.736472
IKSHC	control	21	0.600000	0.790901
IKSHC	control	21	0.700000	0.750114
IKSHC	control	21	0.800000	0.725798
IKSHC	control	21	0.900000	0.747073
IKSHC	control	25	0.400000	0.766625
IKSHC	control	25	0.500000	0.790432
IKSHC	control	25	0.600000	0.781951
IKSHC	control	25	0.700000	0.756476
IKSHC	control	25	0.800000	0.786008
IKSHC	control	25	0.900000	0.791962
IKSHC	control	3	0.400000	0.732983
IKSHC	control	3	0.500000	0.771164
IKSHC	control	3	0.600000	0.790630
IKSHC	control	3	0.700000	0.735450
IKSHC	control	3	0.800000	0.711713
IKSHC	control	3	0.900000	0.738267
IKSHC	control	5	0.400000	0.751404
IKSHC	control	5	0.500000	0.756556
IKSHC	control	5	0.600000	0.737529
IKSHC	control	5	0.700000	0.740375
IKSHC	control	5	0.800000	0.742162
IKSHC	control	5	0.900000	0.738814
IKSHC	control	7	0.400000	0.749252
IKSHC	control	7	0.500000	0.735078
IKSHC	control	7	0.600000	0.722872
IKSHC	control	7	0.700000	0.758183
IKSHC	control	7	0.800000	0.753613
IKSHC	control	7	0.900000	0.772283
IKSHC	control	13	0.400000	0.698154
IKSHC	control	13	0.500000	0.701248
IKSHC	control	13	0.600000	0.712566
IKSHC	control	13	0.700000	0.695878
IKSHC	control	13	0.800000	0.733306
IKSHC	control	13	0.900000	0.712176
IKSHC	control	15	0.400000	0.716684
IKSHC	control	15	0.500000	0.721808
IKSHC	control	15	0.600000	0.725481
IKSHC	control	15	0.700000	0.710568
IKSHC	control	15	0.800000	0.752420
IKSHC	control	15	0.900000	0.728120
IKSHC	control	17	0.400000	0.777083
IKSHC	control	17	0.500000	0.750152
IKSHC	control	17	0.600000	0.729832
IKSHC	control	17	0.700000	0.759101
IKSHC	control	17	0.800000	0.713570
IKSHC	control	17	0.900000	0.725969
IKSHC	control	21	0.400000	0.736310
IKSHC	control	21	0.500000	0.723945
IKSHC	control	21	0.600000	0.744319
IKSHC	control	21	0.700000	0.710122
IKSHC	control	21	0.800000	0.747636
IKSHC	control	21	0.900000	0.714724
IKSHC	control	25	0.400000	0.734146
IKSHC	control	25	0.500000	0.751452
IKSHC	control	25	0.600000	0.705629
IKSHC	control	25	0.700000	0.708915
IKSHC	control	25	0.800000	0.727333
IKSHC	control	25	0.900000	0.711975
IKSHC	control	3	0.400000	0.704982
IKSHC	control	3	0.500000	0.723335
IKSHC	control	3	0.600000	0.720392
IKSHC	control	3	0.700000	0.712400
IKSHC	control	3	0.800000	0.687939
IKSHC	control	3	0.900000	0.735292
IKSHC	control	5	0.400000	0.697590
IKSHC	control	5	0.500000	0.690276
IKSHC	control	5	0.600000	0.704515
IKSHC	control	5	0.700000	0.728254
IKSHC	control	5	0.800000	0.722426
IKSHC	control	5	0.900000	0.711682
IKSHC	control	7	0.400000	0.686486
IKSHC	control	7	0.500000	0.642564
IKSHC	control	7	0.600000	0.728255
IKSHC	control	7	0.700000	0.690593
IKSHC	control	7	0.800000	0.707714
IKSHC	control	7	0.900000	0.662351
IKSHC	control	13	0.400000	0.756046
IKSHC	control	13	0.500000	0.714085
IKSHC	control	13	0.600000	0.807704
IKSHC	control	13	0.700000	0.750443
IKSHC	control	13	0.800000	0.764978
IKSHC	control	13	0.900000	0.697011
IKSHC	control	15	0.400000	0.777152
IKSHC	control	15	0.500000	0.746223
IKSHC	control	15	0.600000	0.748434
IKSHC	control	15	0.700000	0.776721
IKSHC	control	15	0.800000	0.716954
IKSHC	control	15	0.900000	0.747894
IKSHC	control	17	0.400000	0.765770
IKSHC	control	17	0.500000	0.745866
IKSHC	control	17	0.600000	0.755232
IKSHC	control	17	0.700000	0.794278
IKSHC	control	17	0.800000	0.715508
IKSHC	control	17	0.900000	0.757470
IKSHC	control	21	0.400000	0.725073
IKSHC	control	21	0.500000	0.743122
IKSHC	control	21	0.600000	0.806762
IKSHC	control	21	0.700000	0.804137
IKSHC	control	21	0.800000	0.716666
IKSHC	control	21	0.900000	0.748641
IKSHC	control	25	0.400000	0.742229
IKSHC	control	25	0.500000	0.780803
IKSHC	control	25	0.600000	0.746101
IKSHC	control	25	0.700000	0.767679
IKSHC	control	25	0.800000	0.743080
IKSHC	control	25	0.900000	0.684623
IKSHC	control	3	0.400000	0.782083
IKSHC	control	3	0.500000	0.754315
IKSHC	control	3	0.600000	0.750165
IKSHC	control	3	0.700000	0.759544
IKSHC	control	3	0.800000	0.773433
IKSHC	control	3	0.900000	0.754688
IKSHC	control	5	0.400000	0.625742
IKSHC	control	5	0.500000	0.646016
IKSHC	control	5	0.600000	0.719352
IKSHC	control	5	0.700000	0.742296
IKSHC	control	5	0.800000	0.674179
IKSHC	control	5	0.900000	0.741733
IKSHC	control	7	0.400000	0.747522
IKSHC	control	7	0.500000	0.735081
IKSHC	control	7	0.600000	0.745071
IKSHC	control	7	0.700000	0.736075
IKSHC	control	7	0.800000	0.736174
IKSHC	control	7	0.900000	0.722630
IKSHC	control	13	0.400000	0.714075
IKSHC	control	13	0.500000	0.744034
IKSHC	control	13	0.600000	0.747352
IKSHC	control	13	0.700000	0.759496
