dataset	algorithm	purity	clustering_time_elapsed	max_psi	max_rt
glass_shuffle_0	IKSHC	0.492457	4.462670	5	0.6
glass_shuffle_1	IKSHC	0.490484	4.582055	13	0.7
glass_shuffle_2	IKSHC	0.477863	4.453967	7	0.7
glass_shuffle_3	IKSHC	0.477331	4.586351	7	0.7
glass_shuffle_4	IKSHC	0.476069	4.579423	15	0.6
glass_shuffle_5	IKSHC	0.466327	4.565319	5	0.7
glass_shuffle_6	IKSHC	0.494800	4.546263	3	0.6
glass_shuffle_7	IKSHC	0.485154	4.544152	5	0.7
glass_shuffle_8	IKSHC	0.481365	4.561379	5	0.6
glass_shuffle_9	IKSHC	0.499117	4.559099	5	0.6
